problem_id,domain,language,prompt,model,run,correct
41858890,Geometry,ES,COT,GPT-4o,2,0
14793502,Probability,ES,COT,GPT-4o,2,1
31369699,Theory of Numbers,ES,COT,GPT-4o,2,1
35785392,Mathematical Logic,ES,COT,GPT-4o,2,1
36102586,Algebra,ES,COT,GPT-4o,2,1
41485018,Probability,ES,COT,GPT-4o,2,0
44556592,Calculus,ES,COT,GPT-4o,2,0
54579607,Calculus,ES,COT,GPT-4o,2,1
60713931,Probability,ES,COT,GPT-4o,2,0
64041478,Algebra,ES,COT,GPT-4o,2,0
65904660,Mathematical Logic,ES,COT,GPT-4o,2,0
69758831,Theory of Numbers,ES,COT,GPT-4o,2,0
70107447,Probability,ES,COT,GPT-4o,2,1
70675663,Calculus,ES,COT,GPT-4o,2,0
75069520,Probability,ES,COT,GPT-4o,2,0
75721634,Geometry,ES,COT,GPT-4o,2,0
80693918,Theory of Numbers,ES,COT,GPT-4o,2,0
80866823,Probability,ES,COT,GPT-4o,2,0
84145301,Probability,ES,COT,GPT-4o,2,0
